Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Connected SCADA Server,Asset Contact Person,Asset Parent ID,Comments
SubSite,MA_PS5_C3-54,MA_PS5_C3_354_DL,C3_354_DL,Abu Maragh Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132061,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-55,MA_PS5_C3_355_DL,C3_355_DL,Abu Maragh Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132051,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-56,MA_PS5_C3_356_DL,C3_356_DL,Behind Toyota Previously- Noriya Road Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132021,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-57,MA_PS5_C3_357_DL,C3_357_DL,Behind Toyota Previously- Noriya Road Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132971,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-58,MA_PS5_C3_358_DL,C3_358_DL,Behind Toyota Previously- Noriya Road Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132060,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-59,MA_PS5_C3_359_DL,C3_359_DL,Eastern Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132049,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-60,MA_PS5_C3_360_DL,C3_360_DL,Eastern Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133080,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-61,MA_PS5_C3_361_DL,C3_361_DL,Eastern Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132048,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-62,MA_PS5_C3_362_DL,C3_362_DL,Eastern Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132077,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-63,MA_PS5_C3_363_DL,C3_363_DL,Western Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133057,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-64,MA_PS5_C3_364_DL,C3_364_DL,Western Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133073,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-65,MA_PS5_C3_365_DL,C3_365_DL,Western Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132966,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-66,MA_PS5_C3_366_DL,C3_366_DL,Western Noriya Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132958,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
